datetime	lat	long	alt	vel_x	vel_y	vel_z	acc_x	elevation	source	location	vehicle	device	freq	sig_strength	sig_strength_Dbm		
38:32.4	33.14798418	-116.6567828	33.46728516	2.598612785	-5.304482937	0.18536213		33.46728516	0	1	0	0	470.309	-21.087221	-69.20749433		
38:34.8	33.14804419	-116.6569102	33.57189941	3.068484068	-5.218374252	0.068330765		33.57189941	0	1	0	0	470.309	-21.576572	-69.69978143		
38:37.2	33.14810348	-116.6570301	33.51013184	2.296939135	-4.314181328	-0.039998192		33.51013184	0	1	0	0	470.309	-21.782356	-69.90680014		
38:39.6	33.14814999	-116.6571465	33.27990723	1.929413557	-4.630274773	0.03657975		33.27990723	0	1	0	0	470.309	-20.689919	-68.80780851		
38:42.1	33.14819726	-116.6572666	33.26257324	2.124050379	-4.815183163	0.133136645		33.26257324	0	1	0	0	470.309	-17.59874	-65.69808244		
38:44.5	33.14824997	-116.6573931	33.4074707	2.528278828	-4.934592724	0.095260166		33.4074707	0	1	0	0	470.309	-16.27508	-64.36648048		
38:47.0	33.14830947	-116.6575226	33.58862305	2.643333197	-5.346205235	0.026557164		33.58862305	0	1	0	0	470.309	-21.463234	-69.5857634		
38:49.4	33.14837392	-116.6576689	33.68786621	2.973965168	-6.071285248	-0.022676554		33.68786621	0	1	0	0	470.309	-21.173336	-69.29412602		
38:51.8	33.1484122	-116.6578331	33.81286621	-0.334664106	-6.53935194	-0.047947474		33.81286621	0	1	0	0	470.309	-14.346413	-62.42624148		
38:54.2	33.14842728	-116.6580132	33.76037598	2.1339674	-7.575417519	-0.010070521		33.76037598	0	1	0	0	470.309	-17.752668	-65.85293401		
38:56.7	33.14848364	-116.6582094	33.81811523	2.733425379	-7.885108948	-0.056940675		33.81811523	0	1	0	0	470.309	-20.940266	-69.0596576		
38:59.1	33.14855476	-116.6584171	33.72180176	3.420540094	-8.032608986	0.050624631		33.72180176	0	1	0	0	470.309	-20.841295	-68.96009277		
39:01.5	33.14861817	-116.6586307	33.66870117	2.137254238	-8.831822395	0.03657981		33.66870117	0	1	0	0	470.309	-22.06085	-71.2266541		
39:03.9	33.14865235	-116.6588776	33.8260498	1.31832695	-10.40679836	0.06191301		33.8260498	0	1	0	0	470.309	-21.55254	-69.67560524		
39:06.3	33.14868407	-116.6591472	33.92980957	1.470524669	-10.75915051	-0.110586509		33.92980957	0	1	0	0	470.309	-20.84049	-68.95928294		
39:08.7	33.14870129	-116.6593938	33.89501953	-0.135981679	-6.916751385	0.198536858		33.89501953	0	1	0	0	470.309	-22.849936	-71.97312946		
39:11.1	33.14869481	-116.6594384	33.87280273	-0.015927471	0.742087722	-0.15191564		33.87280273	0	1	0	0	470.309	-21.773165	-69.89755399		
39:13.5	33.14871622	-116.659398	33.51025391	1.280477643	1.651025772	-0.001795427		33.51025391	0	1	0	0	470.309	-18.15115	-66.2538069		
39:15.9	33.14875159	-116.6593774	32.9239502	1.798140287	-2.540278435	0.173043013		32.9239502	0	1	0	0	470.309	-19.236673	-67.34584304		
39:18.4	33.14879975	-116.6594753	33.31188965	1.971775174	-4.88224411	0.183804616		33.31188965	0	1	0	0	470.309	-21.164108	-69.28484265		
39:20.7	33.148847	-116.6596136	33.74023438	2.213052034	-5.897507668	-0.001387164		33.74023438	0	1	0	0	470.309	-21.406757	-69.52894754		
39:23.1	33.14890467	-116.6597806	33.85339355	2.927149296	-7.536744118	0.090379298		33.85339355	0	1	0	0	470.309	-18.160873	-66.26358824		
39:25.5	33.14898179	-116.6599857	34.0378418	3.824480772	-8.527132034	-0.12490771		34.0378418	0	1	0	0	470.309	-22.49979	-71.64189134		
39:27.9	33.1490549	-116.6601921	33.87548828	3.952856541	-5.817587852	0.168015048		33.87548828	0	1	0	0	470.309	-16.153723	-64.24439534		
39:30.3	33.14916613	-116.6603179	33.93054199	4.810160637	-5.925645351	-0.024182189		33.93054199	0	1	0	0	470.309	-22.162474	-71.3227904		
39:32.7	33.14925829	-116.660503	33.51208496	3.699790478	-8.529413223	-0.106980547		33.51208496	0	1	0	0	470.309	-18.076015	-66.17822109		
39:35.1	33.149344	-116.6607316	33.4407959	3.76144433	-9.435050964	0.055520508		33.4407959	0	1	0	0	470.309	-20.623762	-68.74125457		
39:37.5	33.14942809	-116.6609749	33.52661133	3.725246906	-9.558980942	0.070412487		33.52661133	0	1	0	0	470.309	-20.366491	-68.48243995		
39:39.9	33.14953147	-116.6611724	33.69641113	5.113389492	-4.484568119	0.446268857		33.69641113	0	1	0	0	470.309	-17.550964	-65.65001978		
39:42.3	33.14956333	-116.6612027	34.01245117	-0.02433423	0.504015684	-0.298442155		34.01245117	0	1	0	0	470.309	-18.918644	-67.02590586		
39:44.8	33.14956986	-116.6611855	33.68859863	-0.099349611	0.356026053	0.003095706		33.68859863	0	1	0	0	470.309	-17.199696	-65.29664418		
39:47.1	33.14956197	-116.6611722	33.45483398	-2.146499395	0.055609811	0.036543012		33.45483398	0	1	0	0	470.309	-19.902901	-68.01606841		
39:49.6	33.14960277	-116.6611112	33.96533203	5.468123913	4.266861439	-0.051386796		33.96533203	0	1	0	0	470.309	-20.181471	-68.29630983		
39:52.0	33.14977147	-116.6609526	33.26855469	9.272208214	6.918967247	-0.199142814		33.26855469	0	1	0	0	470.309	-15.874064	-63.96305838		
39:54.4	33.14990395	-116.6608434	33.53503418	3.543388128	0.719541669	0.135456428		33.53503418	0	1	0	0	470.309	-14.858321	-62.94122093		
39:54.7	33.14991421	-116.6608427	33.68859863	3.43863678	-0.141216144	-0.004701309		33.68859863	0	1	0	0	512.309	-22.64135	-71.7758071		
39:56.8	33.14998723	-116.6609141	33.73876953	3.888704538	-5.959215641	0.017198477		33.73876953	0	1	0	0	470.309	-16.768644	-64.86300586		
39:59.2	33.15007564	-116.6611038	33.67175293	3.807932138	-8.99224472	0.142836452		33.67175293	0	1	0	0	470.309	-16.545282	-64.63830369		
40:01.6	33.15016137	-116.6613676	33.59631348	4.154511929	-11.72951031	-0.278096378		33.59631348	0	1	0	0	470.309	-19.200077	-67.30902746		
40:04.0	33.15026829	-116.661698	33.30603027	5.185576439	-13.84350109	-0.177093968		33.30603027	0	1	0	0	470.309	-16.031605	-64.12154463		
